Metric,Value
timing__unannotated_net_filtered__count__corner:max_tt_025C_5v00,0
design__max_slew_violation__count__corner:max_ss_125C_4v50,3118
design__max_fanout_violation__count__corner:max_ss_125C_4v50,162
design__max_cap_violation__count__corner:max_ss_125C_4v50,10
clock__skew__worst_hold__corner:max_ss_125C_4v50,-0.4610980339170923
clock__skew__worst_setup__corner:max_ss_125C_4v50,0.46240987348009077
timing__hold__ws__corner:max_ss_125C_4v50,1.53185823917069
timing__setup__ws__corner:max_ss_125C_4v50,-6.614378565411956
timing__hold__tns__corner:max_ss_125C_4v50,0.0
timing__setup__tns__corner:max_ss_125C_4v50,-234.50929328862392
timing__hold__wns__corner:max_ss_125C_4v50,0
timing__setup__wns__corner:max_ss_125C_4v50,-6.614378565411956
timing__hold_vio__count__corner:max_ss_125C_4v50,0
timing__hold_r2r__ws__corner:max_ss_125C_4v50,1.531858
timing__hold_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__setup_vio__count__corner:max_ss_125C_4v50,91
timing__setup_r2r__ws__corner:max_ss_125C_4v50,-6.614378
timing__setup_r2r_vio__count__corner:max_ss_125C_4v50,91
timing__unannotated_net__count__corner:max_ss_125C_4v50,164
timing__unannotated_net_filtered__count__corner:max_ss_125C_4v50,0
design__max_slew_violation__count__corner:max_ff_n40C_5v50,0
design__max_fanout_violation__count__corner:max_ff_n40C_5v50,162
design__max_cap_violation__count__corner:max_ff_n40C_5v50,10
clock__skew__worst_hold__corner:max_ff_n40C_5v50,-0.3466916574175834
clock__skew__worst_setup__corner:max_ff_n40C_5v50,0.3560725981517673
timing__hold__ws__corner:max_ff_n40C_5v50,0.3252680439279736
timing__setup__ws__corner:max_ff_n40C_5v50,59.10685441722782
timing__hold__tns__corner:max_ff_n40C_5v50,0.0
timing__setup__tns__corner:max_ff_n40C_5v50,0.0
timing__hold__wns__corner:max_ff_n40C_5v50,0
timing__setup__wns__corner:max_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:max_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:max_ff_n40C_5v50,0.346665
timing__hold_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:max_ff_n40C_5v50,70.131073
timing__setup_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count__corner:max_ff_n40C_5v50,164
timing__unannotated_net_filtered__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count,164
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:nom_tt_025C_5v00,4.99989
design_powergrid__drop__average__net:VDD__corner:nom_tt_025C_5v00,4.99998
design_powergrid__drop__worst__net:VDD__corner:nom_tt_025C_5v00,0.000105086
design_powergrid__voltage__worst__net:VSS__corner:nom_tt_025C_5v00,0.00007548
design_powergrid__drop__average__net:VSS__corner:nom_tt_025C_5v00,0.0000173722
design_powergrid__drop__worst__net:VSS__corner:nom_tt_025C_5v00,0.00007548
design_powergrid__voltage__worst,0.00007548
design_powergrid__voltage__worst__net:VDD,4.99989
design_powergrid__drop__worst,0.000105086
design_powergrid__drop__worst__net:VDD,0.000105086
design_powergrid__voltage__worst__net:VSS,0.00007548
design_powergrid__drop__worst__net:VSS,0.00007548
ir__voltage__worst,5
ir__drop__avg,0.00001769999999999999994019540816569957542014890350401401519775390625
ir__drop__worst,0.0001050000000000000043541559247017858069739304482936859130859375
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
